W,A,Id,t (light),error (light),t (heavy),error (heavy)
0.25,2,4,0.392,3.35,0.406,3.8
0.25,4,5,0.484,3.41,0.51,3.83
0.25,8,6,0.58,2.78,0.649,4.04
0.25,16,7,0.731,3.65,0.781,4.08
0.5,2,3,0.281,1.99,0.281,0.88
0.5,4,4,0.372,2.72,0.37,2.16
0.5,8,5,0.469,2.05,0.485,2.32
0.5,16,6,0.595,2.73,0.641,2.27
1,2,2,0.212,0.44,0.215,0.13
1,4,3,0.26,1.09,0.273,0.85
1,8,4,0.357,2.38,0.373,1.17
1,16,5,0.481,1.3,0.526,1.32
2,2,1,0.18,0,0.182,0
2,4,2,0.203,0.08,0.219,0.09
2,8,3,0.279,0.87,0.284,0.65
2,16,4,0.388,0.65,0.413,1.72